StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ignored,excluded,belonged,mc_percent_ball,aas_happy,aas_anxious,aas_pleased,aas_angry,aas_frustrated,aas_depressed,aas_joyful,aas_unhappy,aas_enjoyment,aas_peaceful,aas_bored,aas_relaxed,1_static_add,1_static_continue,2_static_add,2_static_continue,3_static_add,3_static_continue,4_static_add,4_static_continue,5_static_add,5_static_continue,1_add,1_continue,2_add,2_continue,3_add,3_continue,4_add,4_continue,5_add,5_continue,6_add,6_continue,7_add,7_continue,8_add,8_continue,9_add,9_continue,10_add,10_continue,n_tasks,SC2,start_value,current_total,base_pay,total_pay,code,bonus_1,bonus_2,total_bonus,dummy_var,total_correct,workerId,hitId,assignmentId,condition,play_for,condition_int,ignored_mstrength,excluded_mstrength,belonged_mstrength,missed_tasks,prop_tasks
7/18/18 9:58,7/18/18 10:01,IP Address,99.58.42.214,100,191,TRUE,7/18/18 10:01,R_shPE930sg5JHNbr,NA,NA,NA,NA,30.19270325,-95.417099,anonymous,EN,5,5,5,5,3,4,3,4,4,5,3,5,3,3,5,3,6,Yes,9,Yes,14,Yes,21,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5,21,1,1.12,B12,0.12,0.02,0.12,TRUE,4,A17D6BK59S31BM,36MUZ9VAE6JGVNH8BRAGCIHFMKNEDT,34Z02EIMITVR76W4FCGIKHSLHFT0TR,Excluded,Self,1,1,1,1,11,0.26666666666666666
7/18/18 9:57,7/18/18 10:01,IP Address,168.7.244.171,100,282,TRUE,7/18/18 10:01,R_2UfL177iwlWCOqB,NA,NA,NA,NA,29.71760559,-95.41880035,anonymous,EN,1,1,3,33,5,1,5,1,1,1,4,1,4,4,4,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,30,Yes,31,Yes,33,Yes,75,No,53,Yes,72,Yes,67,Yes,49,Yes,61,Yes,42,Yes,15,13,5,75,1,1.14,B14,0.12,0.02,0.14,TRUE,15,A18WSKVR0Q302F,309D674SHZ28JSZA14DFR4TCYNYCBR,3PEIJLRY6UBRWD69DTA0GFMVVGVWX7,Included,Self,0,1,1,3,0,1
7/18/18 9:57,7/18/18 10:02,IP Address,100.37.185.10,100,292,TRUE,7/18/18 10:02,R_1mecA8zUVPdVvAL,NA,NA,NA,NA,40.75169373,-73.99720001,anonymous,EN,3,3,3,16,4,1,4,1,1,1,5,1,4,7,4,5,6,Yes,9,Yes,14,Yes,21,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,5,21,1,1.12,B12,0.12,0.02,0.12,TRUE,4,A2JRMR7P3L98AK,3IWA71V4TIXQGETAW9SUU1SUL4B6X2,3HMIGG0U4MO56H01KMGWLDQIFFN8YB,Included,Self,0,3,3,3,11,0.26666666666666666
7/18/18 9:57,7/18/18 10:02,IP Address,50.46.135.79,100,308,TRUE,7/18/18 10:02,R_1im5YyiES3RPWP0,NA,NA,NA,NA,47.85609436,-122.2828979,anonymous,EN,1,1,5,30,6,1,1,1,1,1,1,1,1,5,1,7,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,5,6,1,1,B0,0.12,0.02,0,TRUE,1,A2E3TO92MCQ9XU,3T5ZXGO9DE58VRC9C0UDXRPWT5LQZG,3EQHHY4HQTAMX8WZSINN2T9N8TVG5I,Included,Charity,0,1,1,5,14,0.06666666666666667
7/18/18 9:57,7/18/18 10:03,IP Address,69.38.225.210,100,344,TRUE,7/18/18 10:03,R_2tsU1zoN63BjQfT,NA,NA,NA,NA,40.72799683,-73.94529724,anonymous,EN,5,5,1,5,1,1,1,3,3,1,4,2,1,1,5,2,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,39,Yes,68,Yes,41,Yes,49,Yes,59,Yes,46,Yes,55,Yes,75,Yes,67,Yes,39,Yes,15,3,5,75,1,1.05,B14,0.12,0.02,0.14,TRUE,14,A3LHYTO2IQVOYR,3INZSNUD807Z0RQR3GUUK4G4VN79DE,35LDD5557BMP71DOA8POHNC2152KMF,Excluded,Charity,1,1,1,5,0,1
7/18/18 9:58,7/18/18 10:03,IP Address,162.231.57.35,100,254,TRUE,7/18/18 10:03,R_2PnXZwjtIpXZHt6,NA,NA,NA,NA,32.76629639,-117.129303,anonymous,EN,5,5,1,10,4,3,1,1,2,1,4,1,5,4,1,5,6,Yes,9,Yes,14,Yes,20,Yes,29,Yes,NA,NA,43,No,NA,NA,NA,NA,NA,NA,42,Yes,NA,NA,NA,NA,37,Yes,NA,NA,8,3,5,43,1,1.05,B14,0.12,0.02,0.14,TRUE,7,A1ZDR2UN7M92LI,34F34TZU7WG13T5KS31QDF33U1UJ2A,3WMOAN2SRCF95US0LDIVWBCJMTJNV4,Excluded,Team,1,1,1,5,7,0.5333333333333333
7/18/18 9:57,7/18/18 10:03,IP Address,146.137.70.70,100,364,TRUE,7/18/18 10:03,R_3eyS4wVCqQolpx1,NA,NA,NA,NA,41.73510742,-88.04470062,anonymous,EN,5,5,1,1,5,1,4,1,1,1,3,1,4,6,2,6,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,31,Yes,51,No,43,Yes,NA,NA,NA,NA,49,Yes,NA,NA,NA,NA,40,Yes,10,3,5,51,1,1.05,B14,0.12,0.02,0.14,TRUE,10,A2LXPQS44US390,3IVEC1GSLPGUE8NO9Z1C8WTY2VGJ1T,33C7UALJVMG8GBPY8X9N7QF88UE81D,Excluded,Charity,1,1,1,5,5,0.6666666666666666
7/18/18 9:57,7/18/18 10:03,IP Address,197.254.32.146,100,337,TRUE,7/18/18 10:03,R_3ESuHVvxV2BUbCd,NA,NA,NA,NA,-1.283294678,36.81669617,anonymous,EN,5,5,1,1,1,7,1,7,7,7,1,7,1,1,7,1,6,Yes,9,Yes,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,14,1,1.04,B12,0.12,0.02,0.12,TRUE,3,A2GQGYKPLKQGSZ,32W3UF2EZO2OYTE1MP3SJQN6OVHC4L,35GMH2SV3FZAL46QR2TYBWO2C8MEO5,Excluded,Charity,1,1,1,5,12,0.2
7/18/18 9:57,7/18/18 10:03,IP Address,184.96.190.202,100,367,TRUE,7/18/18 10:03,R_2dYLXCCDFU1ZwEz,NA,NA,NA,NA,39.73699951,-105.0203018,anonymous,EN,4,4,2,20,4,1,4,1,1,1,3,1,3,2,2,3,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,49,Yes,49,Yes,65,Yes,52,Yes,56,Yes,42,Yes,48,Yes,37,Yes,64,Yes,63,Yes,15,6,5,65,1,1.14,B14,0.12,0.02,0.14,TRUE,14,A30VAYXB85107X,3ACRLU860NVNGQJOXVJAHSTFJZBEBM,3KV0LJBBH33BU5QJ0SYLIZYGWXWRMF,Included,Self,0,4,4,2,0,1
7/18/18 9:58,7/18/18 10:04,IP Address,98.157.208.230,100,334,TRUE,7/18/18 10:04,R_2rr1ui5E5QAM3LI,NA,NA,NA,NA,39.3578949,-87.42449951,anonymous,EN,1,1,1,1,4,1,2,1,2,1,3,1,4,6,1,6,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,5,6,1,1,B0,0.12,0.02,0,TRUE,1,A1HBIE5LRTQK1L,3L1EFR8WWTMWYB4NUMPK84JP70N9FP,3LBXNTKX0SDGKHT1KI082VEKXFAX9I,Excluded,Charity,1,5,5,5,14,0.06666666666666667
7/18/18 9:58,7/18/18 10:04,IP Address,173.18.87.107,100,368,TRUE,7/18/18 10:04,R_eM7cFUQP5h5Iti1,NA,NA,NA,NA,41.60369873,-93.87529755,anonymous,EN,4,3,2,20,3,1,3,1,1,1,4,1,4,3,1,5,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,NA,NA,66,Yes,57,Yes,45,Yes,49,Yes,42,Yes,55,Yes,37,Yes,65,Yes,75,No,14,7,5,75,1,1.05,B14,0.12,0.02,0.14,TRUE,14,A1D6T3TYET20QR,3NBFJK3IOHZ5JY4O7VEKNFEQ3E9OGH,3TYCR1GOTD10QEUPAXRJ4PLQ59PZLE,Included,Charity,0,4,3,2,1,0.9333333333333333
7/18/18 9:57,7/18/18 10:04,IP Address,23.228.140.94,100,405,TRUE,7/18/18 10:04,R_2XigS5V2rEcW3re,NA,NA,NA,NA,39.0572052,-94.59329987,anonymous,EN,2,1,4,30,4,3,3,1,1,4,3,2,4,5,5,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,75,Yes,57,Yes,75,Yes,73,Yes,47,Yes,35,Yes,70,Yes,64,Yes,43,Yes,56,Yes,15,13,5,75,1,1.05,B14,0.12,0.02,0.14,TRUE,15,A29EL77Y1V21Q7,3O4VWC1GEWNQOB13W3FVWP8V0FUJ3L,3KWTYT0871L2J0A039K3FLEV4AHL5T,Included,Team,0,2,1,4,0,1
7/18/18 9:58,7/18/18 10:04,IP Address,96.32.160.62,100,341,TRUE,7/18/18 10:04,R_3qjq8TXSkKkAyzj,NA,NA,NA,NA,34.00909424,-84.00879669,anonymous,EN,5,5,1,2,6,1,6,1,1,1,3,1,4,6,1,6,6,Yes,9,Yes,14,Yes,21,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,21,1,1.04,B12,0.12,0.02,0.12,TRUE,4,A1BAEFJ2OG7NJ0,3INZSNUD807Z0RQR3GUUK4G4VN79DE,3DBQWDE4Y7GS70DLFM0ISDIK95IN5Y,Excluded,Team,1,1,1,5,11,0.26666666666666666
7/18/18 9:57,7/18/18 10:04,IP Address,66.58.232.64,100,409,TRUE,7/18/18 10:04,R_2eb8kPH6fpPeynj,NA,NA,NA,NA,61.52349854,-149.5747986,anonymous,EN,1,1,5,33,4,2,2,1,1,1,1,1,4,2,7,4,6,Yes,9,Yes,14,Yes,21,Yes,30,Yes,33,Yes,33,Yes,32,Yes,63,Yes,75,Yes,60,Yes,55,Yes,49,Yes,71,Yes,42,Yes,15,15,5,75,1,1.14,B14,0.12,0.02,0.14,TRUE,15,A19RUEYADULHZN,3UOMW19E6DN6UCI10UM2OITKORCC5Q,3MRNMEIQW6OXNDPTIF2MDX2NHRFLD1,Included,Self,0,1,1,5,0,1
7/18/18 9:58,7/18/18 10:04,IP Address,91.197.221.65,100,357,TRUE,7/18/18 10:04,R_27ExlZT3XemDVMf,NA,NA,NA,NA,50.43330383,30.51669312,anonymous,EN,5,5,1,1,1,5,1,6,7,5,1,6,1,3,7,4,6,Yes,9,Yes,14,Yes,21,Yes,30,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,30,1,1.05,B14,0.12,0.02,0.14,TRUE,5,A1669EVSVOHN54,3J9UN9O9J39U7J26DGXCURAOX3AJ0Q,3RXPCZQMQQTN9QVGRVLBZ3W6WDRG11,Excluded,Team,1,1,1,5,10,0.3333333333333333
