workerId,mturk_id,demog_age,demog_edu,demog_gender,demog_sexuality,demog_veteran,demog_employed,demog_selfemployed,demog_income,demog_race,godard_1,godard_2,godard_3,godard_4,ignored,excluded,belonged,mc_percent_ball,aas_happy,aas_anxious,aas_pleased,aas_angry,aas_frustrated,aas_depressed,aas_joyful,aas_unhappy,aas_enjoyment,aas_peaceful,aas_bored,aas_relaxed,n_tasks,condition,intervention,play_for,age_range,aas_pos,aas_neg,missed_tasks,prop_tasks,cnd_intervention
A3H3EOO4F0WKAD,A3H3EOO4F0WKAD,24,Bachelor's degree,Female,Bisexual,No,Yes,No,60000,White/Caucasian,4,4,2,2,5,5,3,3,4,1,4,1,1,1,4,1,4,4,1,4,24,exclusion,birdshot_wisdom,players,under_25,4,1,86,0.21818181818181817,Perspective
A1VLKEZDMYN8UB,A1VLKEZDMYN8UB,31,High school degree,Male,Heterosexual,No,Yes,No,65000,White/Caucasian,5,5,2,4,1,1,5,33,7,2,7,1,1,1,6,1,7,5,1,4,1,inclusion,none,players,25-34,6,1.1666666666666667,109,0.00909090909090909,Inclusion (control)
A1299WL9DI3TEF,A1299WL9DI3TEF,28,Master's degree,Male,Heterosexual,Yes,Yes,No,65000,White/Caucasian,3,4,3,2,3,4,2,5,5,4,4,3,5,4,3,5,5,4,6,4,8,exclusion,prompt_help,players,25-34,4.166666666666667,4.5,102,0.07272727272727272,Mentorship
A2YCMT5BPA0AG9,A2YCMT5BPA0AG9,50,Bachelor's degree,Male,Heterosexual,Yes,Yes,No,39000,White/Caucasian,5,4,2,2,5,5,1,10,2,3,1,2,3,1,1,2,1,1,1,2,11,exclusion,prompt_help,players,45-54,1.3333333333333333,2,99,0.1,Mentorship
A19HS6ON7R2KBP,A19HS6ON7R2KBP,48,Some college,Female,Heterosexual,No,Yes,No,29000,White/Caucasian,5,5,5,1,5,5,1,2,7,1,6,1,1,1,6,1,6,6,1,6,1,exclusion,prompt_fix,players,45-54,6.166666666666667,1,109,0.00909090909090909,Empowerment
A37BU4T906EXCT,A37BU4T906EXCT,47,Bachelor's degree,Male,Heterosexual,No,Yes,No,70000,White/Caucasian,2,2,2,5,5,5,1,5,4,1,4,2,1,2,3,5,1,5,7,6,5,exclusion,prompt_help,players,45-54,3.8333333333333335,3,105,0.045454545454545456,Mentorship
A1SL65Z68BK1UT,A1SL65Z68BK1UT,25,Bachelor's degree,Female,Homosexual,No,Yes,No,30000,White/Caucasian,4,4,2,2,5,5,1,1,1,3,1,1,3,4,1,2,1,1,3,1,18,exclusion,birdshot_wisdom,players,25-34,1,2.6666666666666665,92,0.16363636363636364,Perspective
AZMOA8ONG0D2U,AZMOA8ONG0D2U,39,Associate's degree,Male,Heterosexual,No,Yes,No,40000,White/Caucasian,5,5,1,1,5,5,1,5,2,4,1,1,4,2,2,3,2,5,5,3,12,exclusion,prompt_fix,players,35-44,2.5,3.1666666666666665,98,0.10909090909090909,Empowerment
A2V6Z380I9VX3Z,A2V6Z380I9VX3Z,35,"Professional degree (MD, JD)",Female,Heterosexual,Yes,Yes,No,75000,White/Caucasian,4,4,4,4,4,4,1,20,2,5,2,6,5,6,1,6,2,2,4,2,4,exclusion,none,players,35-44,1.8333333333333333,5.333333333333333,106,0.03636363636363636,Exclusion (control)
A1BNR1ZAF1QGWG,A1BNR1ZAF1QGWG,33,Some college,Male,Heterosexual,No,Yes,No,50000,White/Caucasian,4,4,2,2,4,4,1,10,2,5,2,6,7,5,3,6,2,3,6,2,4,exclusion,prompt_help,players,25-34,2.3333333333333335,5.833333333333333,106,0.03636363636363636,Mentorship
A2XPWASDT8AYXH,A2XPWASDT8AYXH,51,Bachelor's degree,Male,Heterosexual,Yes,Yes,No,139000,Hispanic or Latinx,4,4,2,2,1,1,5,33,7,1,7,1,1,1,7,1,7,7,1,7,13,inclusion,none,players,45-54,7,1,97,0.11818181818181818,Inclusion (control)
AWLT46A9EWTK8,AWLT46A9EWTK8,41,Master's degree,Male,Heterosexual,No,Yes,No,75000,White/Caucasian,4,5,5,5,1,2,4,30,6,1,6,1,2,1,5,1,6,6,1,5,1,exclusion,none,players,35-44,5.666666666666667,1.1666666666666667,109,0.00909090909090909,Exclusion (control)
AWLFTWDBNDB06,AWLFTWDBNDB06,46,Bachelor's degree,Male,Heterosexual,Yes,Yes,No,35000,White/Caucasian,5,5,1,1,2,2,4,30,6,1,6,1,1,1,6,1,4,6,2,5,4,inclusion,none,players,45-54,5.5,1.1666666666666667,106,0.03636363636363636,Inclusion (control)
A2XMFTY9WB05U6,A2XMFTY9WB05U6,33,Associate's degree,Male,Heterosexual,No,Yes,No,47000,White/Caucasian,3,2,4,4,4,4,2,1,4,5,3,3,3,6,3,3,3,3,4,3,25,exclusion,birdshot_wisdom,players,25-34,3.1666666666666665,4,85,0.22727272727272727,Perspective
A163XFZG5BI0XU,A163XFZG5BI0XU,37,Bachelor's degree,Male,Heterosexual,No,Yes,No,95000,White/Caucasian,5,5,1,1,5,5,1,5,2,5,2,5,5,5,2,5,2,2,5,2,14,exclusion,none,players,35-44,2,5,96,0.12727272727272726,Exclusion (control)
A1KYBRIJF7D426,A1KYBRIJF7D426,35,"Professional degree (MD, JD)",Female,Heterosexual,Yes,Yes,No,75000,White/Caucasian,4,4,4,4,4,5,2,20,2,5,2,6,5,5,2,5,2,2,5,2,1,exclusion,none,players,35-44,2,5.166666666666667,109,0.00909090909090909,Exclusion (control)
A2JDJFBKD3U830,A2JDJFBKD3U830,32,Some college,Male,Bisexual,Yes,Yes,No,25000,White/Caucasian,3,3,3,4,1,1,3,25,4,1,4,1,1,1,3,1,4,3,2,4,5,inclusion,none,players,25-34,3.6666666666666665,1.1666666666666667,105,0.045454545454545456,Inclusion (control)
AGC307XG0RIR4,AGC307XG0RIR4,29,Bachelor's degree,Male,Heterosexual,No,Yes,No,42300,White/Caucasian,4,2,2,2,1,1,5,30,4,1,3,1,1,1,2,1,3,5,3,6,13,inclusion,none,players,25-34,3.8333333333333335,1.3333333333333333,97,0.11818181818181818,Inclusion (control)
A3D2GO0IFRFN6R,A3D2GO0IFRFN6R,34,Bachelor's degree,Female,Heterosexual,No,Yes,No,48000,White/Caucasian,2,2,4,4,5,5,1,1,1,4,1,2,3,6,1,4,1,1,2,2,13,exclusion,none,players,25-34,1.1666666666666667,3.5,97,0.11818181818181818,Exclusion (control)
A7ERZELTAMWL5,A7ERZELTAMWL5,68,Master's degree,Male,Heterosexual,No,Yes,No,52000,White/Caucasian,4,2,3,4,5,5,5,5,5,1,5,1,1,1,5,1,5,6,2,6,13,exclusion,none,players,55_plus,5.333333333333333,1.1666666666666667,97,0.11818181818181818,Exclusion (control)
A2BVVFXMQU8AC7,A2BVVFXMQU8AC7,35,Some college,Male,Heterosexual,No,Yes,No,35500,White/Caucasian,4,3,3,2,5,5,1,5,3,4,2,3,4,3,1,2,1,2,1,2,40,exclusion,birdshot_wisdom,players,35-44,1.8333333333333333,2.8333333333333335,70,0.36363636363636365,Perspective
A3914P24XPNPY3,A3914P24XPNPY3,31,High school degree,Female,Heterosexual,No,Yes,No,45000,White/Caucasian,4,4,4,3,3,2,2,45,5,4,4,4,5,4,4,3,5,5,4,5,17,inclusion,none,players,25-34,4.666666666666667,4,93,0.15454545454545454,Inclusion (control)
A2GFU1QB3HGIX7,A2GFU1QB3HGIX7,25,Associate's degree,Female,Bisexual,No,Yes,No,42000,White/Caucasian,4,3,1,2,5,5,1,33,1,3,1,2,4,5,1,3,1,2,5,2,31,exclusion,prompt_help,players,25-34,1.3333333333333333,3.6666666666666665,79,0.2818181818181818,Mentorship
A2V7RTBYCIY1CC,A2V7RTBYCIY1CC,25,Master's degree,Male,Heterosexual,No,Yes,No,30000,White/Caucasian,4,5,1,1,5,4,3,40,7,2,7,1,1,2,7,1,7,2,1,7,9,inclusion,none,players,25-34,6.166666666666667,1.3333333333333333,101,0.08181818181818182,Inclusion (control)
A1EP3XESXAG0EP,A1EP3XESXAG0EP,32,Bachelor's degree,Female,Homosexual,No,Yes,No,50000,Hispanic or Latinx,4,4,2,2,5,5,1,1,4,2,4,1,1,1,3,1,2,3,1,3,5,exclusion,none,players,25-34,3.1666666666666665,1.1666666666666667,105,0.045454545454545456,Exclusion (control)
A1V7SD89P2M326,A1V7SD89P2M326,26,High school degree,Male,Heterosexual,No,Yes,No,63000,White/Caucasian,3,2,4,3,5,5,1,5,2,1,1,3,5,1,1,5,1,3,4,2,20,exclusion,none,players,25-34,1.6666666666666667,3.1666666666666665,90,0.18181818181818182,Exclusion (control)
AQ2Z8GSCNU8H6,AQ2Z8GSCNU8H6,28,Some college,Male,Heterosexual,Yes,Yes,No,30000,Asian American,4,2,4,2,1,1,4,28,2,1,6,1,1,1,5,1,5,5,2,6,4,inclusion,none,players,25-34,4.833333333333333,1.1666666666666667,106,0.03636363636363636,Inclusion (control)
A2Q4ITJAJCG8A3,A2Q4ITJAJCG8A3,21,Bachelor's degree,Female,Heterosexual,No,Yes,No,30000,White/Caucasian,1,1,5,5,5,5,1,10,1,2,1,5,6,3,1,6,1,1,2,1,25,exclusion,prompt_help,players,under_25,1,4,85,0.22727272727272727,Mentorship
A2VH1DVHPNFGUG,A2VH1DVHPNFGUG,23,Bachelor's degree,Female,Bisexual,No,Yes,No,45000,Asian American,5,4,1,2,5,5,1,2,5,3,5,1,2,1,4,1,4,4,1,5,4,exclusion,prompt_fix,players,under_25,4.5,1.5,106,0.03636363636363636,Empowerment
A3HYLVFUDKJFKC,A3HYLVFUDKJFKC,45,Bachelor's degree,Male,Heterosexual,No,Yes,No,55000,White/Caucasian,5,5,1,1,1,1,4,25,6,1,6,1,1,1,5,1,5,7,1,7,5,inclusion,none,players,45-54,6,1,105,0.045454545454545456,Inclusion (control)
A3OA43R19OZNY5,A3OA43R19OZNY5,32,Some college,Female,Heterosexual,No,Yes,No,30000,Black/African American,3,2,2,4,2,4,1,35,6,1,6,1,1,1,6,1,6,6,1,6,3,inclusion,none,players,25-34,6,1,107,0.02727272727272727,Inclusion (control)
A1XBWSV6TWJUU8,A1XBWSV6TWJUU8,34,Bachelor's degree,Female,Heterosexual,No,Yes,No,50000,White/Caucasian,4,5,2,2,2,1,4,20,4,3,4,2,3,1,3,3,4,3,1,2,13,inclusion,none,players,25-34,3.3333333333333335,2.1666666666666665,97,0.11818181818181818,Inclusion (control)
A3PRX6CU0P34NE,A3PRX6CU0P34NE,31,Some college,Male,Heterosexual,No,Yes,No,40000,White/Caucasian,5,5,1,1,5,5,1,2,6,1,5,1,1,1,3,1,3,7,2,7,18,exclusion,birdshot_wisdom,players,25-34,5.166666666666667,1.1666666666666667,92,0.16363636363636364,Perspective
A1PVL74S10WYD7,A1PVL74S10WYD7,28,Bachelor's degree,Female,Heterosexual,No,Yes,No,56000,White/Caucasian,4,2,4,2,5,5,1,1,1,7,3,1,3,3,1,4,1,2,4,2,23,exclusion,prompt_help,players,25-34,1.6666666666666667,3.6666666666666665,87,0.20909090909090908,Mentorship
A3NA0Y5FD5SDWH,A3NA0Y5FD5SDWH,27,Bachelor's degree,Female,Heterosexual,No,Yes,No,53000,White/Caucasian,5,5,1,2,5,5,1,3,5,1,3,1,2,1,5,1,5,4,2,5,14,exclusion,prompt_help,players,25-34,4.5,1.3333333333333333,96,0.12727272727272726,Mentorship
A1BBJJHGM0ADN7,A1BBJJHGM0ADN7,45,Associate's degree,Male,Heterosexual,No,Yes,No,35000,White/Caucasian,5,5,1,1,5,5,5,1,4,1,3,1,2,1,2,1,3,4,5,5,19,exclusion,prompt_fix,players,45-54,3.5,1.8333333333333333,91,0.17272727272727273,Empowerment
A24ZKEJTS1O4IW,A24ZKEJTS1O4IW,30,Bachelor's degree,Male,Heterosexual,No,Yes,No,30000,White/Caucasian,3,4,2,2,5,5,1,2,3,3,2,4,5,5,2,5,2,2,4,2,11,exclusion,birdshot_wisdom,players,25-34,2.1666666666666665,4.333333333333333,99,0.1,Perspective
A37533SGF100SL,A37533SGF100SL,30,Bachelor's degree,Male,Heterosexual,No,Yes,No,40000,White/Caucasian,5,4,2,2,5,5,1,5,2,3,2,1,3,2,2,3,2,1,4,3,67,exclusion,none,players,25-34,2,2.6666666666666665,43,0.6090909090909091,Exclusion (control)
A1TYND312JIFC0,A1TYND312JIFC0,28,Bachelor's degree,Male,Heterosexual,No,Yes,No,40000,White/Caucasian,4,4,2,2,5,1,1,0,1,4,1,5,6,3,1,4,1,1,7,5,11,exclusion,prompt_help,players,25-34,1.6666666666666667,4.833333333333333,99,0.1,Mentorship
A3EKMP3EYTB19C,A3EKMP3EYTB19C,24,Bachelor's degree,Female,Heterosexual,No,Yes,No,30000,Black/African American,5,2,3,2,5,5,1,33,5,2,5,1,6,1,4,1,7,7,1,6,7,exclusion,prompt_fix,players,under_25,5.666666666666667,2,103,0.06363636363636363,Empowerment
A22ZYDQ7VRH6EL,A22ZYDQ7VRH6EL,48,Bachelor's degree,Male,Heterosexual,No,Yes,No,102600,White/Caucasian,4,5,1,2,5,5,1,0,1,2,1,6,6,6,2,6,2,2,5,3,44,exclusion,prompt_help,players,45-54,1.8333333333333333,5.166666666666667,66,0.4,Mentorship
A29COSSH2X426N,A29COSSH2X426N,31,Bachelor's degree,Female,Heterosexual,No,Yes,No,105000,White/Caucasian,4,4,2,2,4,3,2,0.5,3,3,3,1,2,2,4,3,2,2,3,2,27,exclusion,prompt_fix,players,25-34,2.6666666666666665,2.3333333333333335,83,0.24545454545454545,Empowerment
AKCJBOQPEI3AR,AKCJBOQPEI3AR,48,Bachelor's degree,Female,Heterosexual,No,Yes,No,80000,Other,3,2,4,4,4,4,2,1,4,2,3,1,1,1,2,1,2,3,2,4,28,exclusion,prompt_fix,players,45-54,3,1.3333333333333333,82,0.2545454545454545,Empowerment
A1F3P6N7BO9HBN,A1F3P6N7BO9HBN,52,Master's degree,Female,Heterosexual,No,Yes,No,76800,White/Caucasian,4,3,4,2,5,5,1,4,1,6,1,7,7,6,1,7,1,1,3,2,9,exclusion,none,players,45-54,1.1666666666666667,6,101,0.08181818181818182,Exclusion (control)
AQW1DUEBDHUYL,AQW1DUEBDHUYL,35,"Professional degree (MD, JD)",Female,Heterosexual,Yes,Yes,No,85000,White/Caucasian,4,4,4,4,4,4,1,25,3,5,2,5,6,6,3,6,4,4,4,4,1,exclusion,none,players,35-44,3.3333333333333335,5.333333333333333,109,0.00909090909090909,Exclusion (control)
A1YTB9G04PC71S,A1YTB9G04PC71S,40,Some college,Male,Heterosexual,No,Yes,No,45000,White/Caucasian,5,4,1,1,5,5,1,1,6,1,6,1,1,1,5,1,4,7,1,7,11,exclusion,prompt_fix,players,35-44,5.833333333333333,1,99,0.1,Empowerment
A1RFZDD1LMS3IQ,A1RFZDD1LMS3IQ,32,High school degree,Male,Homosexual,No,Yes,No,55555,Asian American,4,5,1,1,4,3,2,25,5,1,3,1,1,1,4,1,4,2,1,5,26,inclusion,none,players,25-34,3.8333333333333335,1,84,0.23636363636363636,Inclusion (control)
A2RVFMCKSSEHDV,A2RVFMCKSSEHDV,26,High school degree,Male,Heterosexual,No,Yes,No,25000,Hispanic or Latinx,4,4,2,2,5,5,1,5,3,1,1,2,2,1,1,2,1,4,6,5,23,exclusion,none,players,25-34,2.5,2.3333333333333335,87,0.20909090909090908,Exclusion (control)
ASSKTVY7PUFNE,ASSKTVY7PUFNE,35,"Professional degree (MD, JD)",Male,Heterosexual,No,Yes,No,90000,Asian American,4,3,2,2,5,5,1,0,2,3,2,5,5,4,2,5,2,2,5,3,25,exclusion,prompt_fix,players,35-44,2.1666666666666665,4.5,85,0.22727272727272727,Empowerment
ACHZV6EH3HWTZ,ACHZV6EH3HWTZ,28,Bachelor's degree,Female,Heterosexual,No,Yes,No,50000,White/Caucasian,4,3,3,3,5,5,1,5,1,2,1,3,5,2,1,5,1,2,4,2,45,exclusion,prompt_fix,players,25-34,1.3333333333333333,3.5,65,0.4090909090909091,Empowerment
A1LFQ3JZ5KUT03,A1LFQ3JZ5KUT03,38,Some college,Male,Heterosexual,No,Yes,No,77000,White/Caucasian,5,5,1,1,5,5,1,1,5,1,5,1,1,1,4,1,4,6,1,6,13,exclusion,prompt_fix,players,35-44,5,1,97,0.11818181818181818,Empowerment
A2YBZFSUD5OP7W,A2YBZFSUD5OP7W,32,High school degree,Female,Heterosexual,No,Yes,No,42000,White/Caucasian,4,2,1,1,5,5,1,5,2,4,1,3,5,2,1,5,1,2,6,4,42,exclusion,prompt_help,players,25-34,1.8333333333333333,4.166666666666667,68,0.38181818181818183,Mentorship
A1S5SPI4NQPGSI,A1S5SPI4NQPGSI,60,Bachelor's degree,Female,Heterosexual,No,Yes,No,25000,White/Caucasian,4,4,1,1,3,3,2,5,6,1,5,1,1,1,5,1,6,7,2,6,4,exclusion,none,players,55_plus,5.833333333333333,1.1666666666666667,106,0.03636363636363636,Exclusion (control)
AT60ESWGVSAG9,AT60ESWGVSAG9,30,Master's degree,Male,Heterosexual,No,Yes,No,80000,Hispanic or Latinx,4,5,1,1,5,5,1,5,2,5,2,6,6,5,3,5,2,2,7,4,16,exclusion,prompt_fix,players,25-34,2.5,5.666666666666667,94,0.14545454545454545,Empowerment
A2EA2PN47ZWILX,A2EA2PN47ZWILX,42,Master's degree,Female,Heterosexual,No,Yes,No,75500,White/Caucasian,5,5,1,1,5,5,1,10,1,5,1,3,5,3,1,5,1,2,7,2,12,exclusion,prompt_fix,players,35-44,1.3333333333333333,4.666666666666667,98,0.10909090909090909,Empowerment
A2ETY1O927Z1IF,A2ETY1O927Z1IF,30,Some college,Male,Heterosexual,No,Yes,No,25000,Asian American,5,5,2,2,5,5,1,5,1,1,1,2,3,1,1,3,1,1,3,1,16,exclusion,birdshot_wisdom,players,25-34,1,2.1666666666666665,94,0.14545454545454545,Perspective
A2M05KE7RBRI3G,A2M05KE7RBRI3G,46,Bachelor's degree,Male,Heterosexual,No,Yes,No,40000,White/Caucasian,5,4,2,1,2,2,4,30,5,2,5,1,2,1,5,1,4,5,3,5,39,inclusion,none,players,45-54,4.833333333333333,1.6666666666666667,71,0.35454545454545455,Inclusion (control)
A1EJS3MIGVI4M6,A1EJS3MIGVI4M6,36,Bachelor's degree,Male,Heterosexual,No,Yes,No,30000,Other,3,4,3,3,1,1,4,25,5,3,4,1,1,1,4,1,4,4,3,4,9,inclusion,none,players,35-44,4.166666666666667,1.6666666666666667,101,0.08181818181818182,Inclusion (control)
A2QO8TLJCJDXU2,A2QO8TLJCJDXU2,36,Bachelor's degree,Female,Heterosexual,No,Yes,No,26000,White/Caucasian,3,2,4,4,1,1,4,75,4,3,4,1,1,1,4,1,4,6,1,6,22,inclusion,none,players,35-44,4.666666666666667,1.3333333333333333,88,0.2,Inclusion (control)
A3BYVU66KV1N69,A3BYVU66KV1N69,19,Some college,Male,Heterosexual,No,Yes,No,45000,White/Caucasian,5,5,1,1,1,1,5,30,5,1,6,1,1,1,5,1,4,4,1,4,21,inclusion,none,players,under_25,4.666666666666667,1,89,0.19090909090909092,Inclusion (control)
A3TFKABX2WVOZ6,A3TFKABX2WVOZ6,33,Some college,Male,Heterosexual,No,Yes,No,30000,Other,2,2,4,4,5,5,1,2,2,2,2,3,2,4,1,3,1,1,5,1,11,exclusion,none,players,25-34,1.3333333333333333,3.1666666666666665,99,0.1,Exclusion (control)
A2A028LRDJB7ZB,A2A028LRDJB7ZB,30,Bachelor's degree,Female,Heterosexual,No,Yes,No,30000,White/Caucasian,5,5,1,1,1,1,5,30,7,1,7,1,1,1,7,1,7,7,1,7,22,inclusion,none,players,25-34,7,1,88,0.2,Inclusion (control)
A2G7N0X0PNX0EE,A2G7N0X0PNX0EE,33,Bachelor's degree,Male,Heterosexual,No,Yes,No,75000,Asian American,4,4,1,1,5,5,1,1,1,2,1,3,4,3,1,3,1,1,5,1,13,exclusion,prompt_help,players,25-34,1,3.3333333333333335,97,0.11818181818181818,Mentorship
A19KXJ5PWHS6YH,A19KXJ5PWHS6YH,38,Master's degree,Female,Heterosexual,No,Yes,No,NA,White/Caucasian,3,3,1,2,5,5,1,5,1,5,1,7,6,4,1,7,1,1,1,1,4,exclusion,birdshot_wisdom,players,35-44,1,5,106,0.03636363636363636,Perspective
A3KC26Z78FBOJT,A3KC26Z78FBOJT,31,Some college,Male,Heterosexual,No,Yes,No,40000,Asian American,5,4,1,2,5,5,1,2,2,1,1,3,3,2,1,3,1,2,4,4,21,exclusion,none,players,25-34,1.8333333333333333,2.6666666666666665,89,0.19090909090909092,Exclusion (control)
A1P2RQ166VS5BT,A1P2RQ166VS5BT,62,Bachelor's degree,Female,Heterosexual,No,Yes,No,29000,White/Caucasian,5,4,3,2,4,4,2,28,4,1,3,1,3,1,4,1,5,4,1,4,24,inclusion,none,players,55_plus,4,1.3333333333333333,86,0.21818181818181817,Inclusion (control)
A1MM8TSLCHVMNK,A1MM8TSLCHVMNK,29,Bachelor's degree,Female,Bisexual,No,Yes,No,95000,White/Caucasian,3,2,4,4,5,5,1,5,1,5,1,5,4,4,1,6,1,2,6,2,25,exclusion,none,players,25-34,1.3333333333333333,5,85,0.22727272727272727,Exclusion (control)
A30JP3QG6U1B5,A30JP3QG6U1B5,36,Some college,Male,Heterosexual,No,Yes,No,60000,White/Caucasian,4,3,3,3,3,3,3,25,5,4,5,3,4,4,4,3,4,5,7,3,11,inclusion,none,players,35-44,4.333333333333333,4.166666666666667,99,0.1,Inclusion (control)
A26M997VYVK0E6,A26M997VYVK0E6,32,Bachelor's degree,Male,Heterosexual,No,Yes,No,35000,Hispanic or Latinx,3,3,4,2,5,5,1,1,1,6,1,7,7,5,1,1,1,1,7,1,1,exclusion,none,players,25-34,1,5.5,109,0.00909090909090909,Exclusion (control)
A15FXHC1CVNW31,A15FXHC1CVNW31,31,Bachelor's degree,Male,Heterosexual,No,Yes,No,80000,White/Caucasian,2,4,3,4,5,4,1,5,4,1,1,2,2,1,4,1,2,7,4,7,17,exclusion,prompt_fix,players,25-34,4.166666666666667,1.8333333333333333,93,0.15454545454545454,Empowerment
A3388HIWAKD3DV,A3388HIWAKD3DV,23,Some college,Female,Heterosexual,No,Yes,No,50000,Black/African American,3,3,3,3,1,1,5,35,4,3,4,1,2,3,2,3,1,4,4,3,37,inclusion,none,players,under_25,3,2.6666666666666665,73,0.33636363636363636,Inclusion (control)
A6ORRFI3XOACA,A6ORRFI3XOACA,28,Some college,Female,Heterosexual,No,Yes,No,27070,Black/African American,3,2,3,3,4,4,2,5,3,3,3,2,3,3,3,3,3,3,3,3,11,exclusion,prompt_help,players,25-34,3,2.8333333333333335,99,0.1,Mentorship
A1I8DXIL52SU0,A1I8DXIL52SU0,36,Bachelor's degree,Female,Heterosexual,No,Yes,No,45000,Asian American,4,3,2,2,2,2,3,28,4,4,3,1,3,4,2,4,2,3,3,2,10,inclusion,none,players,35-44,2.6666666666666665,3.1666666666666665,100,0.09090909090909091,Inclusion (control)
A2LFSSOAZEMA76,A2LFSSOAZEMA76,24,Associate's degree,Male,Heterosexual,Yes,Yes,No,80000,White/Caucasian,5,5,4,4,5,5,3,5,4,1,4,1,1,1,3,1,3,4,2,5,19,exclusion,prompt_fix,players,under_25,3.8333333333333335,1.1666666666666667,91,0.17272727272727273,Empowerment
A2VG30TZC4CND0,A2VG30TZC4CND0,34,Bachelor's degree,Male,Heterosexual,No,Yes,No,125000,White/Caucasian,3,2,4,4,5,5,1,10,3,4,3,3,2,3,2,3,2,2,4,4,6,exclusion,birdshot_wisdom,players,25-34,2.6666666666666665,3.1666666666666665,104,0.05454545454545454,Perspective
A5B73N9C2HVEG,A5B73N9C2HVEG,39,Some college,Female,Heterosexual,No,Yes,No,35000,White/Caucasian,4,4,1,2,5,5,1,1,1,7,1,3,7,4,1,5,1,1,4,1,25,exclusion,prompt_fix,players,35-44,1,5,85,0.22727272727272727,Empowerment
AYQAO6B91191T,AYQAO6B91191T,30,Some college,Male,Heterosexual,No,Yes,No,45000,Hispanic or Latinx,4,4,1,1,1,1,4,20,4,1,4,1,1,1,3,1,3,4,3,2,12,inclusion,none,players,25-34,3.3333333333333335,1.3333333333333333,98,0.10909090909090909,Inclusion (control)
