code,recommend_org,jcc_1,jcc_2,jcc_3,how_important,colleagues_imp,management_imp,reports_imp,age_diff_imp,goddard,anxiety_attachment,avoidance_attachment,orgid_behavioral,orgid_affective,orgid_cognitive,orgid_total,org_group_membership_Jansen,org_group_affection_Jansen,org_room_for_authenticity_Jansen,org_value_in_authenticity_Jansen,jansen_bel_o,jansen_au_o,team_group_affection_Jansen,team_group_membership_Jansen,team_room_for_authenticity_Jansen,team_value_in_authenticity_Jansen,jansen_bel_t,jansen_au_t,work_group_cohesivenss_Riordan,work_group_communication_Riordan,work_group_identification_Riordan,work_group_identification_total_Riordan,wrz_job,wrz_career,wrz_calling,team_in_self,org_in_self,self_distance_most_belong,self_distance_least_belong,autonomy_sat,competence_sat,relatedness_sat,psych_needs_tot,proficiency_ind,adaptivity_ind,proactivity_ind,proficiency_team,adaptivity_team,proactivity_team,job_perf_tot,workerid,n_refs,n_antirefs,workerid..55,employ_sitch,employ_sitch_other,months_since_emp,self_employed,self_employed_other,hrs_worked,full_time_position,tenure,income_personal_lt,income_household_lt,code..66,shs_1,shs_2,shs_3,shs_4,shs_sum,big5_e,big5_n,big5_c,big5_a,big5_o,wss,jss_total,jss_pay,jss_promotion,jss_supervision,jss_benefits,jss_contingent,jss_ops,jss_coworkers,jss_nature,jss_comms,cmws_total,cmws_inspiring,cmws_unity,cmws_serving,cmws_fullpo,cmws_become,cmws_reality,cmws_balancing,naq_work,naq_personal,naq_physical,naq_total,mspss_total,mspss_friends,mspss_coworker,mspss_so,mspss_family,uwes_vigor,uwes_ded,uwes_absorp,uwes_tot,wss_1,wss_2,wss_3,engagement_1,engagement_2,engagement_3,engagement_4,engagement_5,engagement_6,engagement_7,engagement_8,engagement_9,phq4_1,phq4_2,phq4_3,phq4_4,workerid..145,how_meaningful,sacrifice,id,religious,spiritual,atheist,agnostic,religious_affil,which_religion,have_kids,num_kids,raise_kids,youngest_child,oldest_child,child_age,lifesat_1,lifesat_2,lifesat_3,lifesat_4,lifesat_5,oms_1,oms_2,oms_3,oms_4,oms_5,oms_6,oms_7,socdes_sum,uls8_sum,lifesat_sum,workerid..196,hitid,time_demo1,time_work1,code..200,time_work2,time_work_habit,time_work_remote,time_demo2,income_household_lt..205,birth_country,living_sitch,sexuality,height,weight,remote_productive,remote_happy,remote_engaged,remote_creative,remote_energized,remote_days,remote_hrs,self_care_work__workout,self_care_work__meditate,self_care_work__nap,self_care_work__handiwork,self_care_work__journal,self_care_work__yoga,self_care_work__dance,self_care_work__read,self_care_work__draw,self_care_work__pray,self_care_work__walk,self_care_all__workout,self_care_all__meditate,self_care_all__nap,self_care_all__handiwork,self_care_all__journal,self_care_all__yoga,self_care_all__dance,self_care_all__read,self_care_all__draw,self_care_all__pray,self_care_all__walk,travel_days,vacation_leave,sick_leave,parent_leave,other_leave,what_other_leave,can_remote_work,do_remote_work,last_promotion,last_raise,last_evaluation,compared_to_same_profession__good_at_job,compared_to_same_profession__career_progress,compared_to_same_profession__job_satisfaction,compared_to_same_career__good_at_job,compared_to_same_career__career_progress,compared_to_same_career__job_satisfaction,travel_required,pay_type_annual,pay_type_hourly,pay_type_commission,pay_type_lump,pay_type_equity,pay_type_other,exact_salary,n_job_switch_5yr,itl,job_req_contact,job_req_lead,job_req_deal_with,job_req_email,job_req_responsible,job_req_teammwork,start_day,end_day,start_date,end_date,ip_address,duration,responseid,latitude,longitude,sex,age,political,race,race_other,edu,employ_sitch..288,employ_sitch_other..289,months_since_emp..290,self_employed..291,self_employed_other..292,days_worked,hrs_worked..294,full_time_position..295,tenure..296,org_size_lt,work_cat,on_team,team_size,lead_or_ic,direct_reps,sector,num_switch,last_raise_mo,last_promo_mo,edu_str,mgr_ic,income_bracket,engagement_avg,edu_numeric,edu_bunch,edu_bunch2,age_range,goddard4,jansen_t4,raise_3mo,promo_3mo,raise_6mo,promo_6mo,raise_12mo,promo_12mo
CO,9,1.0,3.0,1.0,7.2,8.1,8.3,NaN,3.0,21,38,51,15,17,5,37,15,16,16,16,31,32,16,16,16,16,32,32,42,22,30,94,1,3,1,4,4,5,3,14,15,12,41,15,15,12,12,12,12,78,A1B84JJ7ATWVJA,0,0,A1B84JJ7ATWVJA,1.0,NaN,NaN,1.0,NaN,40.0,1.0,54,6.0,NA,CO,6.0,6.0,7.0,7.0,33,14,4,20,17,15,14,NA,NA,NA,NA,NA,NA,NA,138,NA,12,110,16,24,16,16,10,12,16,7,12,3,22,136,24,85,4,23,23,16,15,53,5.0,5.0,4.0,7,7,7,7,6,6,6,6,6,1.0,1.0,1.0,1.0,A1B84JJ7ATWVJA,81,20,9063,NA,NA,NA,NA,1.0,7.0,1.0,2.0,1.0,17.0,19.0,NaN,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,NA,24,NA,A1B84JJ7ATWVJA,378G7J1SJLFF4THZSMF64660RFNEWO,20,33,CO,269.0,57.0,56.0,83.0,6.0,162.0,6.0,Straight,70.0,180.0,-8.0,-8.0,2.0,-3.0,4.0,4.0,32,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,13.0,0.0,0.0,0.0,NaN,1.0,Yes,6.0,5.0,NA,6.0,6.0,7.0,7.0,6.0,7.0,1.0,1.0,NaN,1.0,NaN,NaN,NaN,1700,NA,2,60.0,81.0,8.0,100.0,40.0,81.0,17.0,13.0,6/19/18 9:09,6/19/18 9:21,76.237.90.47,726,R_2viwJAf5O8Jq4Tr,33.09519958,-96.75240326,m,49,Conservative,Asian,NaN,6,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,53.0,250,Information Technology,1.0,10.0,3.0,2.0,profit,1,25,NaN,Masters,Both manager and IC,NA,6.444444444444445,6,Masters,Graduate,45-54,2,2,0,0,0,0,0,0
CO,0,3.0,1.0,2.0,3,3.0,3.0,0.4,3.0,17,68,99,8,11,3,22,11,16,15,12,27,27,16,14,15,12,27,27,33,19,24,76,3,1,2,3,3,5,3,11,8,6,25,12,8,3,12,8,7,50,A2Y9RHLAZKR5VX,0,0,A2Y9RHLAZKR5VX,1.0,NaN,NaN,1.0,NaN,40.0,1.0,290,4.0,NA,CO,2.0,2.0,2.0,1.0,14,4,21,22,16,8,13,NA,NA,NA,NA,NA,NA,NA,124,NA,15,90,12,21,15,12,11,9,10,12,15,4,31,113,13,57,21,22,10,8,14,32,5.0,4.0,4.0,3,4,2,4,4,3,7,6,4,2.0,2.0,2.0,2.0,A2Y9RHLAZKR5VX,100,1,8235,NA,NA,NA,NA,1.0,7.0,0.0,NaN,NaN,NaN,NaN,NaN,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,NA,24,NA,A2Y9RHLAZKR5VX,338GLSUI43SE3Q0M3SPBPZOFX1WFSE,40,90,CO,493.0,95.0,20.0,119.0,4.0,1.0,1.0,Straight,157.0,44.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,NaN,0.0,0.0,0.0,1.0,Attending the funeral of a family member.,0.0,"NA",6.0,6.0,NA,7.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,50,NA,1,80.0,44.0,61.0,100.0,20.0,40.0,16.0,32.0,6/18/18 15:09,6/18/18 15:27,104.8.191.142,1085,R_25z1iO0o4QAjBH4,29.78129578,-90.04440308,f,49,Centrist,White,NaN,6,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,290.0,250,"Education, Training, and Library",1.0,5.0,3.0,5.0,non_profit,0,NaN,NaN,Masters,Both manager and IC,NA,4.111111111111111,6,Masters,Graduate,45-54,1,1,0,0,0,0,0,0
CO,1,3.0,4.0,2.0,9.6,8.9,6.9,9.2,1.0,21,28,39,8,4,4,16,12,19,20,16,31,36,19,12,20,16,30,36,13,12,30,55,3,4,2,3,2,5,4,15,15,15,45,15,15,15,15,15,15,90,AJQ4T7IRHIY3,0,1,AJQ4T7IRHIY3,1.0,NaN,NaN,1.0,NaN,42.0,1.0,48,3.0,NA,CO,6.0,5.0,5.0,6.0,29,9,13,23,24,19,12,NA,NA,NA,NA,NA,NA,NA,119,NA,5,93,8,14,20,13,10,12,16,17,23,5,45,126,19,69,28,10,25,8,13,40,6.0,5.0,1.0,5,5,7,4,4,3,3,6,7,1.0,2.0,2.0,2.0,AJQ4T7IRHIY3,25,9,8166,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,NA,17,NA,AJQ4T7IRHIY3,3N5YJ55YXGKMRMR9KGMXC43IDMBANK,26,68,CO,303.0,52.0,5.0,78.0,5.0,1.0,3.0,Straight,63.0,219.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,4.0,2.0,0.0,3.0,We have PTO and I have been looking for a new job so I take time off to attend interviews.,0.0,"NA",5.0,3.0,NA,11.0,3.0,1.0,11.0,3.0,3.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,4,32.0,60.0,13.0,100.0,18.0,78.0,17.0,35.0,6/18/18 14:59,6/18/18 15:11,216.114.194.178,715,R_RFGpXvWRbdUvFaF,44.13079834,-94.0,f,53,Liberal,White,NaN,3,1,NaN,NaN,1.0,NaN,5.0,42.0,1.0,49.0,20,Office and Administrative Support,1.0,10.0,2.0,NaN,profit,1,12,25,Some college,Individual contributor,NA,4.888888888888889,3,No undergrad,No undergrad,45-54,2,1,0,0,0,0,1,0
CO,6,4.0,2.0,1.0,8.5,7.0,8.5,7.5,4.0,24,74,36,8,7,3,18,14,14,8,8,28,16,14,20,8,8,40,39,39,27,25,91,4,2,1,5,4,4,2,15,13,12,40,9,9,9,12,7,9,55,A3CMOHJ8HNNDPL,3,1,A3CMOHJ8HNNDPL,1.0,NaN,NaN,1.0,NaN,40.0,1.0,38,3.0,NA,CO,4.0,3.0,3.0,3.0,20,14,24,23,20,22,13,NA,NA,NA,NA,NA,NA,NA,121,NA,18,89,9,20,13,12,11,10,14,15,15,3,33,131,15,62,28,26,12,10,6,28,6.0,2.0,5.0,3,3,5,4,5,4,2,2,5,1.0,1.0,1.0,3.0,A3CMOHJ8HNNDPL,20,15,7866,NA,NA,NA,NA,1.0,7.0,0.0,NaN,NaN,NaN,NaN,NaN,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,NA,18,NA,A3CMOHJ8HNNDPL,37S0QRNUFBXN5RBQHGD0YG7SY3C88Q,27,46,CO,401.0,99.0,5.0,106.0,5.0,1.0,3.0,Straight,72.0,280.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,6.0,2.0,NaN,12.0,0.0,0.0,3.0,"Both times were family emergencies: The first time, my sister had a baby and the other time, my mother-in-law was rushed to the hospital with blood clots. ",0.0,"NA",4.0,6.0,NA,8.0,6.0,6.0,8.0,6.0,6.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,2,100.0,98.0,80.0,100.0,83.0,60.0,20.0,37.0,6/18/18 13:54,6/18/18 14:16,12.40.206.6,1342,R_27WCizWYuYVk9Ya,42.59840393,-82.91349792,m,32,Conservative,White,NaN,4,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,38.0,100,Information Technology,1.0,3.0,1.0,2.0,profit,2,NaN,24,Associates,Manager/team lead/exec,NA,3.6666666666666665,4,No undergrad,No undergrad,25-34,3,4,0,0,0,0,0,0
CO,10,1.0,2.0,3.0,9,6.2,4.7,NaN,4.0,25,31,39,13,16,6,35,14,13,12,12,27,24,13,20,12,12,39,32,45,26,31,102,1,2,3,5,3,4,2,10,15,10,35,13,10,9,13,5,9,59,AD88B3HEDVS19,1,0,AD88B3HEDVS19,1.0,NaN,NaN,1.0,NaN,40.0,1.0,13,3.0,NA,CO,5.0,4.0,4.0,4.0,24,18,9,22,23,16,14,NA,NA,NA,NA,NA,NA,NA,100,NA,5,48,4,19,8,4,5,4,4,23,19,3,45,118,24,45,24,25,5,3,3,11,7.0,6.0,1.0,1,1,2,2,2,2,2,2,2,2.0,2.0,3.0,3.0,AD88B3HEDVS19,18,19,8668,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,NA,17,NA,AD88B3HEDVS19,3WRKFXQBOBOV93EL36NLAIP8UFBYIV,32,78,CO,315.0,100.0,73.0,103.0,4.0,153.0,1.0,Straight,174.0,80.0,0.0,2.0,2.0,-1.0,1.0,1.0,8,1.0,5.0,4.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,NaN,5.0,0.0,0.0,0.0,NaN,1.0,Yes,6.0,6.0,NA,6.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,40000,NA,2,29.0,39.0,0.0,100.0,48.0,100.0,19.0,11.0,6/18/18 19:48,6/18/18 20:03,72.79.7.30,911,R_sFjHJXo7Xc2rk09,40.69450378,-74.26899719,f,52,Liberal,White,NaN,5,2,NaN,6,1.0,NaN,5.0,40.0,1.0,12.0,100,Information Technology,1.0,5.0,2.0,NaN,non_profit,2,NaN,NaN,Bachelors,Individual contributor,NA,1.7777777777777777,5,Undergrad,Undergrad,45-54,3,3,0,0,0,0,0,0
CO,0,2.0,4.0,2.0,7,7.0,8.0,NaN,4.0,22,88,116,9,3,5,17,4,16,16,16,20,32,16,16,16,16,35,40,35,20,14,69,2,4,2,4,1,3,3,14,10,5,29,12,11,9,12,11,12,67,A15FXOOCN5RT0,0,0,A15FXOOCN5RT0,1.0,NaN,NaN,1.0,NaN,40.0,1.0,9,3.0,NA,CO,3.0,3.0,3.0,3.0,19,6,13,19,19,24,8,NA,NA,NA,NA,NA,NA,NA,126,NA,9,90,7,18,12,14,15,10,14,7,13,3,23,126,11,73,18,24,15,14,17,46,5.0,2.0,1.0,5,3,6,5,6,6,7,7,6,3.0,2.0,1.0,2.0,A15FXOOCN5RT0,40,10,7631,NA,NA,NA,NA,1.0,7.0,0.0,NaN,NaN,NaN,NaN,NaN,2.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NA,22,NA,A15FXOOCN5RT0,3QX22DUVOOY01S97JAYTVCSVT62MVX,22,51,CO,297.0,46.0,5.0,54.0,3.0,1.0,1.0,Straight,72.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,NaN,0.0,5.0,0.0,0.0,NaN,0.0,"NA",5.0,5.0,NA,10.0,6.0,6.0,10.0,6.0,6.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,3,20.0,20.0,1.0,1.0,40.0,20.0,15.0,31.0,6/18/18 13:44,6/18/18 13:54,71.11.171.75,609,R_DMkqR8zVCrEIVIl,30.09829712,-95.35700226,m,45,Centrist,White,NaN,4,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,9.0,250,Architecture and Engineering,1.0,10.0,2.0,NaN,profit,1,25,25,Associates,Individual contributor,NA,5.666666666666667,4,No undergrad,No undergrad,45-54,2,3,0,0,0,0,0,0
CO,1,4.0,2.0,1.0,2.5,7.0,2.0,NaN,4.0,23,65,57,5,7,4,16,12,14,4,5,26,9,14,15,4,5,33,15,38,22,13,73,4,2,1,4,3,3,5,15,12,10,37,15,13,6,11,11,6,62,A31Z5TPD8QKE26,0,2,A31Z5TPD8QKE26,1.0,NaN,NaN,1.0,NaN,40.0,1.0,36,3.0,NA,CO,6.0,4.0,6.0,6.0,29,16,4,18,16,22,8,NA,NA,NA,NA,NA,NA,NA,98,NA,4,79,5,25,9,6,11,11,12,17,13,3,33,94,21,29,21,23,8,0,0,8,4.0,2.0,2.0,3,3,1,1,1,1,1,1,1,1.0,1.0,1.0,2.0,A31Z5TPD8QKE26,10,10,7484,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.0,5.0,5.0,3.0,1.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,NA,20,NA,A31Z5TPD8QKE26,3K8CQCU3KEIJYZUCLLIPUT0953MWNL,14,40,CO,632.0,228.0,14.0,36.0,3.0,1.0,1.0,Straight,69.0,175.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,NaN,2.0,0.0,0.0,1.0,Car troubles.  My engine light came on and I took it to a garage.,0.0,"NA",6.0,6.0,NA,10.0,5.0,3.0,10.0,5.0,4.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,2,20.0,10.0,5.0,0.0,0.0,80.0,14.0,12.0,6/17/18 23:33,6/17/18 23:53,207.172.250.130,1167,R_3dKSYup5zYmWsli,40.65710449,-75.50299835,m,34,Conservative,White,NaN,3,1,NaN,NaN,1.0,NaN,4.0,40.0,1.0,36.0,10000,Sales and Related,1.0,20.0,2.0,NaN,profit,2,NaN,NaN,Some college,Individual contributor,NA,1.4444444444444444,3,No undergrad,No undergrad,25-34,3,2,0,0,0,0,0,0
CO,6,1.0,1.0,3.0,5,5.5,3.6,5.4,1.0,18,71,68,12,14,3,29,12,14,15,12,26,27,14,11,15,12,26,25,31,21,25,77,1,1,3,4,5,3,5,10,11,11,32,13,10,8,8,7,7,53,A1WTKDVIFK3IDY,10,3,A1WTKDVIFK3IDY,1.0,NaN,NaN,2.0,NaN,30.0,0.0,10,5.0,NA,CO,7.0,7.0,7.0,7.0,35,22,11,24,21,22,13,NA,NA,NA,NA,NA,NA,NA,123,NA,11,87,12,18,10,14,8,11,14,24,39,10,73,82,8,48,15,11,11,8,7,26,3.0,5.0,5.0,3,3,4,4,4,3,3,2,5,2.0,3.0,3.0,3.0,A1WTKDVIFK3IDY,46,42,9504,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,NA,23,NA,A1WTKDVIFK3IDY,3PR3LXCWSFGDYXV8UGV6EBJW9KD9X2,54,89,CO,380.0,28.0,7.0,135.0,5.0,1.0,1.0,Straight,163.0,56.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,4.0,6.0,6.0,6.0,7.0,5.0,5.0,4.0,6.0,6.0,6.0,3.0,5.0,6.0,6.0,4.0,3.0,6.0,7.0,6.0,4.0,NaN,12.0,0.0,0.0,0.0,NaN,0.0,"NA",6.0,1.0,NA,9.0,10.0,8.0,7.0,6.0,6.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,2,45.0,49.0,29.0,61.0,62.0,29.0,17.0,35.0,6/19/18 13:21,6/19/18 13:35,190.113.208.149,861,R_V2RgNUEmz9qfCZX,-12.05000305,-77.05000305,f,21,Centrist,White,NaN,2,1,NaN,NaN,1.0,NaN,6.0,43.0,1.0,24.0,100,Marketing and Advertising,0.0,NaN,4.0,NaN,profit,0,3,NaN,High school,Not sure,NA,3.4444444444444446,2,No undergrad,No undergrad,under_25,1,1,1,0,0,0,0,0
CO,10,4.0,1.0,1.0,1.1,9.4,10.0,NaN,2.0,19,30,111,9,18,3,30,18,18,16,15,36,31,18,18,16,15,34,31,43,22,33,98,4,1,1,5,4,4,1,15,8,10,33,15,11,14,12,13,9,74,A34UER5ZQ5APMB,2,0,A34UER5ZQ5APMB,1.0,NaN,NaN,1.0,NaN,40.0,1.0,98,6.0,NA,CO,5.0,6.0,5.0,4.0,27,9,9,20,12,12,14,NA,NA,NA,NA,NA,NA,NA,158,NA,10,106,12,14,19,16,15,14,16,9,12,3,24,135,24,58,26,27,10,13,10,33,4.0,5.0,5.0,4,4,1,4,7,5,5,5,3,2.0,1.0,1.0,1.0,A34UER5ZQ5APMB,44,9,7767,NA,NA,NA,NA,0.0,NaN,1.0,1.0,1.0,NaN,NaN,8.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,NA,11,NA,A34UER5ZQ5APMB,3W9XHF7WGKCQYC5FT3LYFHC67GRKTA,58,118,CO,354.0,77.0,167.0,192.0,6.0,1.0,3.0,Straight,70.0,190.0,-10.0,-10.0,-10.0,-3.0,-6.0,4.0,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,NaN,25.0,1.0,0.0,0.0,NaN,1.0,Yes,4.0,3.0,NA,8.0,6.0,10.0,9.0,7.0,10.0,0.0,1.0,NaN,NaN,NaN,NaN,NaN,156000,NA,1,20.0,12.0,4.0,100.0,20.0,21.0,15.0,33.0,6/18/18 13:45,6/18/18 14:04,66.87.119.248,1150,R_2xYkj9NX4INVJcd,37.54020691,-122.3041,m,37,Liberal,White,NaN,3,1,NaN,NaN,1.0,NaN,5.0,40.0,1.0,79.0,100000,Applied Mathematics and Statistical Analysis,1.0,3.0,2.0,NaN,non_profit,0,12,24,Some college,Individual contributor,NA,4.222222222222222,3,No undergrad,No undergrad,35-44,1,2,0,0,0,0,1,0
CO,3,4.0,2.0,1.0,7,9.0,9.0,NaN,1.0,18,27,108,8,11,2,21,16,20,17,20,36,37,20,14,17,20,34,36,18,18,21,57,4,2,1,2,2,4,1,10,7,13,30,12,7,4,8,5,3,39,A2ONILC0LZKG6Y,0,1,A2ONILC0LZKG6Y,1.0,NaN,NaN,1.0,NaN,38.0,1.0,105,2.0,NA,CO,5.0,4.0,4.0,6.0,26,6,18,17,17,17,18,NA,NA,NA,NA,NA,NA,NA,119,NA,10,76,7,19,11,9,8,11,11,8,13,3,24,106,22,51,8,25,9,6,6,21,6.0,6.0,6.0,3,3,2,2,4,3,3,3,3,3.0,3.0,2.0,NaN,A2ONILC0LZKG6Y,20,10,7050,NA,NA,NA,NA,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,2.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,NA,15,NA,A2ONILC0LZKG6Y,3CVDZS288HHB5VNHJVTPDQP9558FMI,21,40,CO,237.0,79.0,6.0,53.0,3.0,1.0,1.0,Straight,68.0,130.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,8.0,NaN,0.0,3.0,0.0,0.0,NaN,0.0,"NA",5.0,5.0,NA,6.0,4.0,2.0,6.0,3.0,2.0,0.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,3,60.0,85.0,50.0,100.0,40.0,60.0,20.0,12.0,6/13/18 20:50,6/13/18 20:59,76.5.162.137,545,R_2XmwniSyMrZLuWu,35.92160034,-77.73149872,f,44,Liberal,White,NaN,5,1,NaN,NaN,1.0,NaN,5.0,38.0,1.0,102.0,250,Office and Administrative Support,1.0,10.0,2.0,NaN,profit,0,25,25,Bachelors,Individual contributor,NA,2.888888888888889,5,Undergrad,Undergrad,35-44,1,2,0,0,0,0,0,0
CO,6,2.0,3.0,1.0,9.2,9.1,8.1,7.5,4.0,22,74,59,12,14,4,30,18,20,18,20,38,38,20,17,18,20,34,37,38,25,28,91,2,3,1,4,4,5,3,12,13,13,38,12,13,12,15,13,14,79,A2OS3NGWKOM69E,1,1,A2OS3NGWKOM69E,1.0,NaN,NaN,1.0,NaN,35.0,1.0,60,3.0,NA,CO,6.0,5.0,5.0,6.0,29,21,12,17,20,23,15,NA,NA,NA,NA,NA,NA,NA,119,NA,10,106,17,20,14,18,10,13,14,18,16,3,37,140,25,69,24,22,14,12,12,38,5.0,5.0,5.0,5,5,3,5,6,4,6,5,4,2.0,2.0,2.0,2.0,A2OS3NGWKOM69E,60,25,8756,NA,NA,NA,NA,1.0,7.0,0.0,NaN,NaN,NaN,NaN,NaN,6.0,5.0,6.0,6.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,NA,19,NA,A2OS3NGWKOM69E,3JY0Q5X05JNHRLNQJC1CI65OA6TGGN,55,53,CO,371.0,39.0,6.0,83.0,5.0,1.0,3.0,Straight,71.0,195.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,14.0,4.0,0.0,0.0,NaN,0.0,"NA",4.0,2.0,NA,9.0,8.0,8.0,9.0,7.0,7.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NA,2,82.0,71.0,53.0,100.0,71.0,76.0,18.0,9.0,6/18/18 20:12,6/18/18 20:26,216.239.176.112,868,R_1nPWBNhqb0uBuBb,28.50500488,-81.78970337,m,43,Liberal,White,NaN,3,1,NaN,NaN,1.0,NaN,5.0,35.0,1.0,75.0,100,Sales and Related,1.0,4.0,2.0,NaN,profit,0,6,24,Some college,Individual contributor,NA,4.777777777777778,3,No undergrad,No undergrad,35-44,2,2,0,0,1,0,0,0
